Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
2013,Accidents Except Drug Posioning ,Male,Non-Hispanic Black,159,18.5,19.1
2011,Cerebrovascular Disease (Stroke),Female,Non-Hispanic Black,281,26.8,23.6
2010,Diabetes Mellitus ,Male,Other Race/ Ethnicity,5,,
2009,Malignant Neoplasms (Cancer),Male,Non-Hispanic White,3236,240.5,205.6
2011,Influenza (Flu) and Pneumonia ,Male,Asian and Pacific Islander,94,17.8,28.7
2011,Malignant Neoplasms (Cancer),Female,Non-Hispanic Black,1918,183.2,163.3
2007,Chronic Lower Respiratory Diseases ,Male,Non-Hispanic Black,137,16.1,22.7
2008,Essential Hypertension and Renal Diseases ,Male,Non-Hispanic White,165,12.3,10.3
2009,Essential Hypertension and Renal Diseases ,Female,Asian and Pacific Islander,18,3.3,4.6
2008,Influenza (Flu) and Pneumonia ,Male,Hispanic,187,16.9,35.5
2013,Chronic Lower Respiratory Diseases ,Male,Not Stated/Unknown,15,,
2010,Chronic Liver Disease and Cirrhosis ,Male,Hispanic,150,13.1,17.6
2009,Cerebrovascular Disease (Stroke),Male,Non-Hispanic Black,154,18.1,22.8
2008,Accidents Except Drug Posioning ,Female,Asian and Pacific Islander,36,6.8,8.5
2010,All Other Causes,Male,Asian and Pacific Islander,308,59.2,77.2
2013,Malignant Neoplasms (Cancer),Female,Asian and Pacific Islander,467,77.8,79.6
2013,Accidents Except Drug Posioning ,Female,Hispanic,60,4.8,5.1
2007,Essential Hypertension and Renal Diseases ,Female,Asian and Pacific Islander,22,4.3,6.3
2008,Diabetes Mellitus ,Female,Other Race/ Ethnicity,,,
2013,Diseases of Heart ,Male,Hispanic,1307,110.7,183.3
2009,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Not Stated/Unknown,7,,
2011,Influenza (Flu) and Pneumonia ,Male,Not Stated/Unknown,8,,
2013,Diabetes Mellitus ,Female,Non-Hispanic Black,410,39.3,33.1
2014,Diabetes Mellitus ,Female,Asian and Pacific Islander,50,8,8.5
2010,Chronic Liver Disease and Cirrhosis ,Male,Other Race/ Ethnicity,,,
2011,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Female,Not Stated/Unknown,,,
2013,Diseases of Heart ,Female,Asian and Pacific Islander,437,72.8,81.8
2007,Influenza (Flu) and Pneumonia ,Male,Hispanic,189,17.3,36.7
2011,Cerebrovascular Disease (Stroke),Female,Hispanic,179,14.6,17.3
2009,All Other Causes,Male,Not Stated/Unknown,55,,
2014,Malignant Neoplasms (Cancer),Female,Other Race/ Ethnicity,66,,
2013,Malignant Neoplasms (Cancer),Female,Not Stated/Unknown,94,,
2008,"Nephritis, Nephrotic Syndrome and Nephrisis ",Male,Asian and Pacific Islander,14,2.8,4.9
2009,Influenza (Flu) and Pneumonia ,Male,Asian and Pacific Islander,84,16.5,26.1
2007,Chronic Lower Respiratory Diseases ,Female,Asian and Pacific Islander,29,5.6,7.9
2011,Diseases of Heart ,Male,Not Stated/Unknown,62,,
2009,Chronic Lower Respiratory Diseases ,Male,Non-Hispanic White,371,27.6,23.3
2007,Diabetes Mellitus ,Male,Hispanic,177,16.2,27.6
2012,All Other Causes,Female,Hispanic,1109,89.5,98.8
2013,Accidents Except Drug Posioning ,Male,Non-Hispanic White,271,20.1,17.9
2011,Human Immunodeficiency Virus Disease (HIV),Female,Not Stated/Unknown,,,
2013,Malignant Neoplasms (Cancer),Female,Non-Hispanic Black,1784,170.8,145.5
2007,Accidents Except Drug Posioning ,Female,Not Stated/Unknown,,,
2007,Accidents Except Drug Posioning ,Male,Non-Hispanic Black,158,18.5,20.6
2009,Essential Hypertension and Renal Diseases ,Male,Non-Hispanic White,148,11,9.1
2012,Influenza (Flu) and Pneumonia ,Female,Non-Hispanic Black,295,28.2,24.1
2011,Chronic Lower Respiratory Diseases ,Female,Asian and Pacific Islander,30,5.3,6.6
2008,Human Immunodeficiency Virus Disease (HIV),Male,Not Stated/Unknown,9,,
2012,Diseases of Heart ,Female,Non-Hispanic Black,2269,217.1,183.9
2011,Alzheimer's Disease ,Female,Hispanic,90,7.3,9.1
2014,Diseases of Heart ,Male,Non-Hispanic Black,1958,226.8,264.7
2008,All Other Causes,Female,Asian and Pacific Islander,214,40.2,50.3
2012,"Congenital Malformations, Deformations, and Chromosomal Abnormalities ",Female,Other Race/ Ethnicity,,,
2013,Essential Hypertension and Renal Diseases ,Female,Non-Hispanic Black,240,23,18.9
2008,Essential Hypertension and Renal Diseases ,Male,Asian and Pacific Islander,31,6.2,9.8
2013,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Female,Not Stated/Unknown,6,,
2014,Malignant Neoplasms (Cancer),Female,Not Stated/Unknown,50,,
2010,Septicemia ,Female,Non-Hispanic White,107,7.5,4.3
2007,Essential Hypertension and Renal Diseases ,Male,Non-Hispanic Black,137,16.1,22
2012,Influenza (Flu) and Pneumonia ,Female,Hispanic,209,16.9,19.6
2012,Diabetes Mellitus ,Male,Other Race/ Ethnicity,8,,
2008,Alzheimer's Disease ,Female,Non-Hispanic White,151,10.5,5.1
2012,Assault (Homicide),Female,Other Race/ Ethnicity,,,
2012,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Hispanic,173,14.8,15.5
2007,All Other Causes,Male,Non-Hispanic White,1749,130.7,115.9
2010,Malignant Neoplasms (Cancer),Female,Not Stated/Unknown,29,,
2012,Influenza (Flu) and Pneumonia ,Male,Not Stated/Unknown,11,,
2014,Diseases of Heart ,Female,Asian and Pacific Islander,462,73.8,81.1
2010,Chronic Lower Respiratory Diseases ,Female,Not Stated/Unknown,6,,
2009,Diabetes Mellitus ,Male,Non-Hispanic Black,285,33.6,41.4
2010,Essential Hypertension and Renal Diseases ,Female,Asian and Pacific Islander,33,5.9,7.1
2012,Malignant Neoplasms (Cancer),Female,Non-Hispanic Black,1912,182.9,159.1
2012,Chronic Liver Disease and Cirrhosis ,Female,Hispanic,54,4.4,4.6
2013,Influenza (Flu) and Pneumonia ,Female,Other Race/ Ethnicity,6,,
2009,Essential Hypertension and Renal Diseases ,Male,Non-Hispanic Black,131,15.4,19
2007,Accidents Except Drug Posioning ,Female,Non-Hispanic Black,87,8.3,8.1
2007,Malignant Neoplasms (Cancer),Male,Asian and Pacific Islander,528,109.1,145.9
2014,Influenza (Flu) and Pneumonia ,Female,Asian and Pacific Islander,80,12.8,14.1
2013,Malignant Neoplasms (Cancer),Female,Non-Hispanic White,3187,224.2,153.3
2010,Influenza (Flu) and Pneumonia ,Female,Other Race/ Ethnicity,,,
2009,Malignant Neoplasms (Cancer),Male,Asian and Pacific Islander,506,99.1,127
2014,Accidents Except Drug Posioning ,Female,Hispanic,64,5.1,5.4
2007,Accidents Except Drug Posioning ,Male,Not Stated/Unknown,8,,
2014,Influenza (Flu) and Pneumonia ,Female,Other Race/ Ethnicity,9,,
2009,Essential Hypertension and Renal Diseases ,Female,Non-Hispanic White,215,15,7.8
2009,Certain Conditions originating in the Perinatal Period ,Female,Not Stated/Unknown,,,
2009,All Other Causes,Male,Hispanic,1067,95,138.1
2011,Accidents Except Drug Posioning ,Female,Other Race/ Ethnicity,,,
2007,Human Immunodeficiency Virus Disease (HIV),Female,Not Stated/Unknown,5,,
2008,Diseases of Heart ,Male,Not Stated/Unknown,92,,
2009,Influenza (Flu) and Pneumonia ,Female,Other Race/ Ethnicity,5,,
2013,Cerebrovascular Disease (Stroke),Female,Non-Hispanic White,427,30,16.4
2007,Cerebrovascular Disease (Stroke),Female,Not Stated/Unknown,,,
2010,Diabetes Mellitus ,Female,Asian and Pacific Islander,51,9.1,11.3
2012,Influenza (Flu) and Pneumonia ,Male,Non-Hispanic Black,242,28.3,37.4
2014,Diseases of Heart ,Female,Hispanic,1230,97.1,106.7
2014,Diabetes Mellitus ,Female,Hispanic,209,16.5,17.9
2008,All Other Causes,Female,Non-Hispanic Black,1268,121,116.1
2012,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Female,Other Race/ Ethnicity,,,
2008,All Other Causes,Male,Asian and Pacific Islander,238,47.8,63.3
2010,All Other Causes,Female,Not Stated/Unknown,18,,
2013,Intentional Self-Harm (Suicide),Male,Other Race/ Ethnicity,6,,
2008,Human Immunodeficiency Virus Disease (HIV),Male,Other Race/ Ethnicity,,,
2007,Malignant Neoplasms (Cancer),Female,Not Stated/Unknown,51,,
2008,Chronic Lower Respiratory Diseases ,Female,Not Stated/Unknown,,,
2013,Influenza (Flu) and Pneumonia ,Female,Non-Hispanic White,622,43.7,22.1
2008,Malignant Neoplasms (Cancer),Female,Non-Hispanic White,3366,234.5,160.5
2012,Septicemia ,Female,Non-Hispanic White,113,8,4.2
2013,Malignant Neoplasms (Cancer),Female,Other Race/ Ethnicity,43,,
2010,Accidents Except Drug Posioning ,Female,Not Stated/Unknown,,,
2008,Influenza (Flu) and Pneumonia ,Female,Non-Hispanic Black,318,30.4,28.6
2010,Cerebrovascular Disease (Stroke),Male,Not Stated/Unknown,,,
2009,Diseases of Heart ,Female,Non-Hispanic Black,2535,242.1,220.9
2009,Cerebrovascular Disease (Stroke),Female,Non-Hispanic Black,245,23.4,21.3
2008,Viral Hepatitis ,Male,Not Stated/Unknown,6,,
2012,Alzheimer's Disease ,Female,Non-Hispanic White,222,15.7,7.2
2014,All Other Causes,Female,Not Stated/Unknown,48,,
2014,Diabetes Mellitus ,Male,Not Stated/Unknown,8,,
2012,Alzheimer's Disease ,Female,Hispanic,126,10.2,12.2
2011,Chronic Liver Disease and Cirrhosis ,Male,Hispanic,167,14.5,18.8
2009,Cerebrovascular Disease (Stroke),Male,Hispanic,143,12.7,21.1
2013,Diseases of Heart ,Male,Not Stated/Unknown,151,,
2011,Cerebrovascular Disease (Stroke),Male,Non-Hispanic Black,200,23.4,28.1
2011,"Nephritis, Nephrotic Syndrome and Nephrisis ",Female,Not Stated/Unknown,,,
2010,Chronic Lower Respiratory Diseases ,Male,Non-Hispanic Black,202,23.7,30.9
2014,Alzheimer's Disease ,Female,Non-Hispanic Black,123,11.7,9.2
2011,Malignant Neoplasms (Cancer),Male,Other Race/ Ethnicity,36,,
2012,Septicemia ,Male,Other Race/ Ethnicity,6,,
2007,Essential Hypertension and Renal Diseases ,Male,Asian and Pacific Islander,25,5.2,8.3
2014,Malignant Neoplasms (Cancer),Female,Hispanic,1154,91.1,97.4
2007,Cerebrovascular Disease (Stroke),Female,Non-Hispanic White,372,25.9,14.4
2012,Malignant Neoplasms (Cancer),Male,Non-Hispanic Black,1563,182.7,215.3
2007,Malignant Neoplasms (Cancer),Male,Other Race/ Ethnicity,29,,
2007,"Nephritis, Nephrotic Syndrome and Nephrisis ",Female,Asian and Pacific Islander,13,2.5,3.2
2013,Diabetes Mellitus ,Male,Not Stated/Unknown,19,,
2007,Diseases of Heart ,Female,Hispanic,1418,121.5,164.3
2008,Cerebrovascular Disease (Stroke),Female,Other Race/ Ethnicity,,,
2009,Chronic Liver Disease and Cirrhosis ,Female,Not Stated/Unknown,,,
2011,Diabetes Mellitus ,Female,Not Stated/Unknown,6,,
2007,Diseases of Heart ,Male,Not Stated/Unknown,86,,
2013,Essential Hypertension and Renal Diseases ,Female,Hispanic,103,8.3,9.3
2013,Chronic Lower Respiratory Diseases ,Male,Non-Hispanic Black,184,21.4,26.1
2008,Accidents Except Drug Posioning ,Female,Non-Hispanic White,193,13.4,9.4
2010,All Other Causes,Male,Not Stated/Unknown,32,,
2007,Diabetes Mellitus ,Female,Hispanic,205,17.6,22.6
2007,Human Immunodeficiency Virus Disease (HIV),Male,Not Stated/Unknown,6,,
2008,Diseases of Heart ,Female,Hispanic,1445,122.3,160.7
2009,Chronic Lower Respiratory Diseases ,Male,Asian and Pacific Islander,51,10,16.9
2012,Diseases of Heart ,Female,Hispanic,1263,102,118.4
2008,Influenza (Flu) and Pneumonia ,Male,Other Race/ Ethnicity,5,,
2011,Malignant Neoplasms (Cancer),Male,Non-Hispanic White,3222,241.6,206.1
2008,Chronic Lower Respiratory Diseases ,Female,Non-Hispanic Black,191,18.2,17.1
2010,Human Immunodeficiency Virus Disease (HIV),Male,Non-Hispanic Black,297,34.9,34
2007,Malignant Neoplasms (Cancer),Male,Hispanic,1013,92.9,163.5
2007,Accidents Except Drug Posioning ,Male,Other Race/ Ethnicity,5,,
2011,Malignant Neoplasms (Cancer),Female,Other Race/ Ethnicity,33,,
2009,Certain Conditions originating in the Perinatal Period ,Female,Other Race/ Ethnicity,,,
2010,All Other Causes,Female,Hispanic,1007,82.7,94.6
2011,All Other Causes,Female,Not Stated/Unknown,14,,
2013,Cerebrovascular Disease (Stroke),Female,Not Stated/Unknown,14,,
2012,Essential Hypertension and Renal Diseases ,Female,Non-Hispanic Black,214,20.5,17.4
2012,Chronic Lower Respiratory Diseases ,Male,Non-Hispanic Black,184,21.5,27.3
2013,Chronic Lower Respiratory Diseases ,Male,Hispanic,142,12,20
2009,Accidents Except Drug Posioning ,Female,Hispanic,56,4.7,5.3
2014,Accidents Except Drug Posioning ,Male,Hispanic,176,14.7,16.9
2012,Intentional Self-Harm (Suicide),Male,Other Race/ Ethnicity,,,
2007,Influenza (Flu) and Pneumonia ,Female,Not Stated/Unknown,,,
2013,Diabetes Mellitus ,Female,Non-Hispanic White,238,16.7,10.4
2012,All Other Causes,Male,Not Stated/Unknown,78,,
2012,Accidents Except Drug Posioning ,Female,Non-Hispanic White,177,12.5,8.5
2012,Certain Conditions originating in the Perinatal Period ,Male,Other Race/ Ethnicity,,,
2009,All Other Causes,Female,Other Race/ Ethnicity,11,,
2013,Influenza (Flu) and Pneumonia ,Male,Non-Hispanic Black,274,31.9,40
2011,Influenza (Flu) and Pneumonia ,Male,Hispanic,209,18.1,34.4
2007,Assault (Homicide),Male,Not Stated/Unknown,,,
2009,Intentional Self-Harm (Suicide),Male,Non-Hispanic White,191,14.2,13
2011,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Hispanic,145,12.6,13
2011,Diabetes Mellitus ,Female,Hispanic,196,16,18.5
2009,Malignant Neoplasms (Cancer),Male,Not Stated/Unknown,47,,
2013,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Not Stated/Unknown,21,,
2008,Influenza (Flu) and Pneumonia ,Female,Other Race/ Ethnicity,,,
2010,Diabetes Mellitus ,Male,Asian and Pacific Islander,64,12.3,15.5
2007,Essential Hypertension and Renal Diseases ,Female,Hispanic,78,6.7,8.9
2013,Chronic Liver Disease and Cirrhosis ,Male,Not Stated/Unknown,16,,
2012,Diabetes Mellitus ,Female,Hispanic,200,16.1,18.4
2009,Diabetes Mellitus ,Male,Hispanic,172,15.3,25.4
2009,Chronic Lower Respiratory Diseases ,Female,Asian and Pacific Islander,30,5.5,7.4
2011,Essential Hypertension and Renal Diseases ,Male,Asian and Pacific Islander,37,7,10.5
2007,Assault (Homicide),Male,Non-Hispanic Black,267,31.3,31.1
2007,Chronic Liver Disease and Cirrhosis ,Female,Not Stated/Unknown,,,
2010,Viral Hepatitis ,Female,Not Stated/Unknown,,,
2012,Diabetes Mellitus ,Male,Non-Hispanic White,292,21.8,18.1
2008,Malignant Neoplasms (Cancer),Female,Not Stated/Unknown,36,,
2011,Influenza (Flu) and Pneumonia ,Female,Other Race/ Ethnicity,6,,
2009,Influenza (Flu) and Pneumonia ,Male,Other Race/ Ethnicity,,,
2012,Chronic Liver Disease and Cirrhosis ,Male,Hispanic,143,12.2,15
2007,Insitu or Benign / Uncertain Neoplasms,Female,Other Race/ Ethnicity,,,
2013,Alzheimer's Disease ,Female,Hispanic,120,9.6,11
2011,Alzheimer's Disease ,Female,Non-Hispanic Black,90,8.6,7.4
2009,Accidents Except Drug Posioning ,Female,Non-Hispanic White,178,12.4,8.3
2008,Influenza (Flu) and Pneumonia ,Male,Non-Hispanic Black,222,26.1,37.6
2010,Human Immunodeficiency Virus Disease (HIV),Male,Hispanic,189,16.5,18.4
2013,Cerebrovascular Disease (Stroke),Male,Non-Hispanic Black,191,22.3,25
2013,Essential Hypertension and Renal Diseases ,Male,Asian and Pacific Islander,33,6,8.4
2010,Malignant Neoplasms (Cancer),Male,Asian and Pacific Islander,526,101,124.5
2007,Diabetes Mellitus ,Female,Asian and Pacific Islander,34,6.6,8.3
2013,Human Immunodeficiency Virus Disease (HIV),Female,Non-Hispanic Black,107,10.2,8.7
2009,Malignant Neoplasms (Cancer),Female,Other Race/ Ethnicity,19,,
2011,Influenza (Flu) and Pneumonia ,Female,Non-Hispanic Black,273,26.1,22.8
2007,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Hispanic,183,16.8,17.9
2012,Diseases of Heart ,Male,Hispanic,1251,107.1,182.5
2009,Cerebrovascular Disease (Stroke),Female,Non-Hispanic White,390,27.1,15.2
2014,Malignant Neoplasms (Cancer),Female,Non-Hispanic Black,1852,176.5,148.4
2010,Human Immunodeficiency Virus Disease (HIV),Female,Hispanic,79,6.5,6.5
2008,Chronic Liver Disease and Cirrhosis ,Female,Not Stated/Unknown,,,
2009,Influenza (Flu) and Pneumonia ,Female,Asian and Pacific Islander,83,15.1,20.3
2012,Diabetes Mellitus ,Male,Non-Hispanic Black,308,36,42.9
2012,Essential Hypertension and Renal Diseases ,Female,Not Stated/Unknown,5,,
2009,Assault (Homicide),Male,Non-Hispanic Black,255,30,30
2009,"Nephritis, Nephrotic Syndrome and Nephrisis ",Male,Other Race/ Ethnicity,,,
2010,Intentional Self-Harm (Suicide),Female,Asian and Pacific Islander,17,3,2.9
2014,Essential Hypertension and Renal Diseases ,Male,Non-Hispanic White,175,13,10.5
2011,Diseases of Heart ,Female,Hispanic,1348,110,131.8
2014,Malignant Neoplasms (Cancer),Male,Asian and Pacific Islander,657,114.5,129.5
2013,Human Immunodeficiency Virus Disease (HIV),Male,Hispanic,122,10.3,11.3
2008,Diabetes Mellitus ,Male,Non-Hispanic Black,265,31.2,40.2
2011,Influenza (Flu) and Pneumonia ,Male,Non-Hispanic Black,243,28.5,38
2011,Essential Hypertension and Renal Diseases ,Female,Asian and Pacific Islander,46,8.1,10.2
2007,Chronic Lower Respiratory Diseases ,Female,Non-Hispanic White,472,32.9,19.6
2007,Diabetes Mellitus ,Female,Other Race/ Ethnicity,,,
2014,Diabetes Mellitus ,Male,Asian and Pacific Islander,71,12.4,14.2
2014,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Female,Not Stated/Unknown,6,,
2009,Assault (Homicide),Male,Not Stated/Unknown,7,,
2009,Diseases of Heart ,Male,Non-Hispanic Black,2068,243.5,318.9
2008,Intentional Self-Harm (Suicide),Male,Asian and Pacific Islander,30,6,6.3
2010,Essential Hypertension and Renal Diseases ,Female,Non-Hispanic White,219,15.3,7.7
2008,Diabetes Mellitus ,Female,Asian and Pacific Islander,47,8.8,11.3
2011,Malignant Neoplasms (Cancer),Male,Asian and Pacific Islander,550,104.1,130.4
2010,Chronic Liver Disease and Cirrhosis ,Male,Asian and Pacific Islander,18,3.5,3.1
2013,Cerebrovascular Disease (Stroke),Male,Non-Hispanic White,249,18.5,15.1
2013,Chronic Lower Respiratory Diseases ,Female,Asian and Pacific Islander,27,4.5,5.2
2013,Influenza (Flu) and Pneumonia ,Male,Hispanic,233,19.7,33.1
2009,Essential Hypertension and Renal Diseases ,Female,Non-Hispanic Black,227,21.7,19.6
2009,Diabetes Mellitus ,Female,Hispanic,215,18,22.2
2013,Influenza (Flu) and Pneumonia ,Male,Non-Hispanic White,618,45.9,36.7
2010,Influenza (Flu) and Pneumonia ,Male,Other Race/ Ethnicity,6,,
2013,Certain Conditions originating in the Perinatal Period ,Female,Not Stated/Unknown,9,,
2014,Chronic Lower Respiratory Diseases ,Female,Non-Hispanic White,515,36.3,21
2012,All Other Causes,Female,Asian and Pacific Islander,327,56,65
2013,Essential Hypertension and Renal Diseases ,Male,Other Race/ Ethnicity,5,,
2011,Human Immunodeficiency Virus Disease (HIV),Male,Hispanic,162,14.1,16.2
2014,Cerebrovascular Disease (Stroke),Male,Other Race/ Ethnicity,7,,
2010,Malignant Neoplasms (Cancer),Female,Non-Hispanic White,3438,240.4,163
2008,Malignant Neoplasms (Cancer),Male,Hispanic,1080,97.7,165.9
2013,All Other Causes,Female,Other Race/ Ethnicity,39,,
2009,Essential Hypertension and Renal Diseases ,Male,Other Race/ Ethnicity,,,
2012,Malignant Neoplasms (Cancer),Male,Hispanic,1126,96.4,151
2008,Assault (Homicide),Male,Other Race/ Ethnicity,5,,
2008,Cerebrovascular Disease (Stroke),Female,Non-Hispanic White,379,26.4,14.9
2012,All Other Causes,Male,Asian and Pacific Islander,333,61.6,79.7
2007,Essential Hypertension and Renal Diseases ,Female,Non-Hispanic Black,166,15.8,15
2011,"Nephritis, Nephrotic Syndrome and Nephrisis ",Female,Non-Hispanic Black,83,7.9,6.9
2013,Diseases of Heart ,Male,Non-Hispanic Black,1868,217.7,258.5
2008,"Nephritis, Nephrotic Syndrome and Nephrisis ",Female,Non-Hispanic Black,71,6.8,6.3
2009,Alzheimer's Disease ,Female,Non-Hispanic White,205,14.3,6.5
2013,Malignant Neoplasms (Cancer),Male,Non-Hispanic White,3132,232.7,194.5
2013,Intentional Self-Harm (Suicide),Female,Other Race/ Ethnicity,5,,
2010,All Other Causes,Female,Asian and Pacific Islander,238,42.3,51.6
2009,Diseases of Heart ,Male,Non-Hispanic White,5168,384.2,319.8
2008,Intentional Self-Harm (Suicide),Male,Other Race/ Ethnicity,,,
2013,Diseases of Heart ,Female,Non-Hispanic White,4535,319,160.6
2014,Diseases of Heart ,Male,Asian and Pacific Islander,554,96.5,118.5
2007,Cerebrovascular Disease (Stroke),Male,Non-Hispanic White,267,20,16.7
2010,Essential Hypertension and Renal Diseases ,Female,Non-Hispanic Black,252,24,21.4
2014,All Other Causes,Male,Non-Hispanic Black,1375,159.3,177.8
2011,Chronic Lower Respiratory Diseases ,Female,Hispanic,156,12.7,15
2011,All Other Causes,Male,Hispanic,1207,104.7,151.1
2011,Influenza (Flu) and Pneumonia ,Male,Non-Hispanic White,646,48.4,39.3
2008,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Female,Non-Hispanic White,86,6,5.5
2009,Chronic Lower Respiratory Diseases ,Female,Non-Hispanic Black,188,18,16.4
2009,"Congenital Malformations, Deformations, and Chromosomal Abnormalities ",Female,Other Race/ Ethnicity,,,
2010,Essential Hypertension and Renal Diseases ,Female,Not Stated/Unknown,5,,
2012,All Other Causes,Male,Non-Hispanic Black,1320,154.3,175
2007,Diabetes Mellitus ,Female,Non-Hispanic Black,358,34,32.5
2014,Chronic Lower Respiratory Diseases ,Male,Asian and Pacific Islander,95,16.6,22.9
2014,Influenza (Flu) and Pneumonia ,Female,Non-Hispanic White,563,39.7,20.4
2013,Essential Hypertension and Renal Diseases ,Female,Asian and Pacific Islander,50,8.3,9.3
2010,Influenza (Flu) and Pneumonia ,Male,Not Stated/Unknown,,,
2007,"Nephritis, Nephrotic Syndrome and Nephrisis ",Female,Non-Hispanic White,89,6.2,3.5
2009,Malignant Neoplasms (Cancer),Male,Other Race/ Ethnicity,12,,
2008,Accidents Except Drug Posioning ,Female,Non-Hispanic Black,70,6.7,6.4
2010,All Other Causes,Male,Other Race/ Ethnicity,25,,
2010,Accidents Except Drug Posioning ,Male,Asian and Pacific Islander,54,10.4,13.7
2010,Cerebrovascular Disease (Stroke),Male,Asian and Pacific Islander,83,15.9,21.3
2008,Influenza (Flu) and Pneumonia ,Male,Non-Hispanic White,529,39.4,32.7
2014,Malignant Neoplasms (Cancer),Male,Not Stated/Unknown,73,,
2012,Septicemia ,Female,Other Race/ Ethnicity,,,
2011,Intentional Self-Harm (Suicide),Male,Non-Hispanic White,177,13.3,12
2014,All Other Causes,Female,Hispanic,1135,89.6,96
2011,Accidents Except Drug Posioning ,Male,Hispanic,180,15.6,18.9
2012,Chronic Lower Respiratory Diseases ,Female,Hispanic,158,12.8,14.6
2009,Diabetes Mellitus ,Male,Asian and Pacific Islander,48,9.4,13.3
2009,Diseases of Heart ,Female,Non-Hispanic White,6297,438.3,226.2
2007,Chronic Liver Disease and Cirrhosis ,Male,Asian and Pacific Islander,18,3.7,3.6
2010,Influenza (Flu) and Pneumonia ,Female,Hispanic,228,18.7,23.1
2008,Chronic Liver Disease and Cirrhosis ,Female,Other Race/ Ethnicity,,,
2008,Diabetes Mellitus ,Female,Non-Hispanic White,210,14.6,8.8
2007,Chronic Lower Respiratory Diseases ,Male,Not Stated/Unknown,,,
2014,"Congenital Malformations, Deformations, and Chromosomal Abnormalities ",Female,Other Race/ Ethnicity,,,
2007,Influenza (Flu) and Pneumonia ,Male,Non-Hispanic Black,229,26.9,40.1
2011,"Congenital Malformations, Deformations, and Chromosomal Abnormalities ",Male,Not Stated/Unknown,,,
2013,Influenza (Flu) and Pneumonia ,Female,Hispanic,204,16.3,18.5
2008,Intentional Self-Harm (Suicide),Female,Asian and Pacific Islander,26,4.9,4.5
2009,Diseases of Heart ,Female,Other Race/ Ethnicity,40,,
2012,Influenza (Flu) and Pneumonia ,Male,Asian and Pacific Islander,76,14.1,20.9
2013,Chronic Lower Respiratory Diseases ,Male,Other Race/ Ethnicity,,,
2008,Chronic Lower Respiratory Diseases ,Male,Not Stated/Unknown,10,,
2007,"Congenital Malformations, Deformations, and Chromosomal Abnormalities ",Female,Other Race/ Ethnicity,,,
2007,Influenza (Flu) and Pneumonia ,Male,Asian and Pacific Islander,66,13.6,25.7
2010,Alzheimer's Disease ,Female,Non-Hispanic Black,88,8.4,7.3
2011,Human Immunodeficiency Virus Disease (HIV),Male,Non-Hispanic Black,277,32.5,31.8
2010,Diabetes Mellitus ,Male,Not Stated/Unknown,7,,
2007,Malignant Neoplasms (Cancer),Female,Non-Hispanic Black,1800,171,161.7
2013,Cerebrovascular Disease (Stroke),Male,Hispanic,158,13.4,20.8
2014,Essential Hypertension and Renal Diseases ,Female,Hispanic,116,9.2,10.1
2013,All Other Causes,Female,Hispanic,1082,86.7,94
2013,"Nephritis, Nephrotic Syndrome and Nephrisis ",Female,Other Race/ Ethnicity,,,
2011,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Non-Hispanic White,254,19,17.3
2013,Malignant Neoplasms (Cancer),Male,Other Race/ Ethnicity,32,,
2008,Accidents Except Drug Posioning ,Male,Asian and Pacific Islander,53,10.6,12.2
2010,Malignant Neoplasms (Cancer),Male,Non-Hispanic Black,1540,180.9,224.1
2014,Cerebrovascular Disease (Stroke),Female,Asian and Pacific Islander,112,17.9,19.1
2014,Accidents Except Drug Posioning ,Male,Non-Hispanic Black,148,17.1,17.7
2007,Diabetes Mellitus ,Male,Non-Hispanic Black,246,28.9,38.1
2013,Essential Hypertension and Renal Diseases ,Female,Non-Hispanic White,206,14.5,7.5
2013,Assault (Homicide),Male,Non-Hispanic Black,174,20.3,20.6
2012,Cerebrovascular Disease (Stroke),Female,Non-Hispanic Black,271,25.9,22.1
2014,Certain Conditions originating in the Perinatal Period ,Male,Not Stated/Unknown,25,,
2010,Diabetes Mellitus ,Female,Non-Hispanic Black,384,36.6,33
2009,Malignant Neoplasms (Cancer),Female,Not Stated/Unknown,41,,
2014,Diseases of Heart ,Male,Hispanic,1281,107.3,170.5
2014,Diabetes Mellitus ,Female,Non-Hispanic White,228,16.1,10
2007,Intentional Self-Harm (Suicide),Male,Not Stated/Unknown,5,,
2014,Alzheimer's Disease ,Female,Non-Hispanic White,276,19.5,8.6
2012,Accidents Except Drug Posioning ,Male,Asian and Pacific Islander,56,10.4,12
